Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cuba,CUB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25569832.4,22229050.28,29363128.49,29184357.54,26212290.5,28167597.77,27905027.93,
Cayman Islands,CYM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,282132.1235,283244.646,237286.9039,210355.4205,189882.754,169956.4976,163251.3621,,2702160.117,3000243.234,3436947.761,4366050.393,1507228.777,7340697.14,8041733.918,9955484.761,12156840.93,16727025.14,14788946.17,18152830.42,21364855.09,20725917.49,20199182.88,14987397.98,38640483.76,53379644.47,44655062.13,60453905.93,55628796.75,,,,,,,,167062381.8,113971845.9,124057598.9,
Czech Republic,CZE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20381969.86,26272616.52,53328089.97,97954964.07,77861868.74,112645152.7,137439776.4,81725597.71,92705740.48,119236203.2,175866289.6,173666458.2,503693935.3,551382615.6,694050965.8,859173450.8,842489141.2,945086547.4,1179217303,1042852406,1160503560,1343830327,1227305475,1193119443,1241479613,
Germany,DEU,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,423474020.1,493347292.3,624130653.4,669979669.5,836978364.6,805220102.9,986661567.9,1187406866,1371790483,1445858316,1185984547,1116646533,1183812410,1116476702,1213984364,1927426971,2456301273,2743678015,3027419866,3797381850,3996394001,4154444575,4043159741,4171042541,5229501524,4688219972,4961739449,4904509975,4395484307,4413767659,4315753736,3541761797,4112720865,4511084668,7211777195,7081586436,7500872477,8632495331,7002485174,7117078515,7400389203,6399194780,8697402739,10726721825,10107361279,11318635655,12745791496,
Djibouti,DJI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,74074.07407,74074.07407,100000,100000,100000,81481.48148,103703.7037,92592.59259,92592.59259,207407.4074,103703.7037,207407.4074,400000,137037.037,118518.5185,107037.037,122962.963,64481.48148,80211.11111,113200,235233.3333,612340.7407,619140.7407,435029.6296,1242888.889,608970.3704,594080.7407,594080.7407,586672.2074,672686.2852,674278.8778,582017.4297,
Denmark,DNK,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887513470.9,948675334.3,885829978.1,1194906781,1379559872,1325847663,1412631900,1392512982,1735972102,1695330425,1530214735,1625778239,1523790784,
Dominican Republic,DOM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600000,5600000,10200000,28500000,16100000,25300000,29800000,29700000,22000000,29600000,30100000,30100000,30800000,31500000,31900000,50700000,53400000,67100000,71400000,59200000,63700000,81400000,88900000,98400000,113200000,
Algeria,DZA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,964608.9016,1260747.876,2335680.549,260589.7146,1158531.523,1306565.674,1044102.907,602001.6556,1193364.891,212661.1351,412393.1,676273.5075,1182878.491,1339658.257,,,,,,,,,,,,,,,2000000,15000000,10547283.08,10163263.96,17088438.14,92466206.42,90367205.16,137274934.9,162112437.3,143997401.9,250010594.1,152897904.4,147130927.5,
East Asia & Pacific (excluding high income),EAP,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,12512715.44,13011801.03,33014106.07,36910772.33,61313610.56,86003758.98,102142794.7,60484075.75,66774882.87,75782192.88,63108592.25,67556873.78,95434863.56,115552678.6,164879801.2,208645658.7,262119004.7,335690092.6,487117960.9,546571426.6,728938552.3,798912902.6,1505125568,1008578844,1972885279,2739242409,3676886327,5088691197,5883111486,8247014007,9603182770,10864942079,13150289216,15881208820,16400045116,19511730369,21709972282,25202088407,29319318130,30756880045,30020853619,31868699393,37489321869,
Early-demographic dividend,EAR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,6599997.762,7599997.762,8399996.643,15399993.85,15399993.85,28599989.37,28599989.37,34199987.13,40799984.9,42199984.34,49199981.54,51527375.68,69773980.21,82078851.9,80598373.09,116593108,182939838.6,273135217,313179652.9,640474378.9,575053367.7,883723007.4,960551877,985853106,877860093,820285919,873190092.5,892290268.7,934152774.4,1065745834,1194622733,1298182053,1230384517,1315125760,2158999526,1804964524,1940327940,2830917721,2755811364,3063812844,3178367906,3298368491,3735338727,4162160838,6836685931,7539820871,8239415715,9263130575,9899152303,10224268255,11541371883,12767892710,14498987635,14525788430,15526917239,15615986049,16501989848,17800382888,
East Asia & Pacific,EAS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,12512715.44,14011801.03,36014106.07,38910772.33,62313610.56,211103759,194342794.7,226684075.8,242574882.9,341982192.9,388708592.2,545556873.8,675734863.6,938852678.6,2102335958,2411399951,2677814928,2852085543,2737131673,3283630751,5873974061,16305514665,16758083871,15911016300,20405384047,24020861051,24548588918,26267078289,30009917196,37777427808,42121111157,44761010577,49769051766,58857781875,59063363851,70661645238,75914045319,84075852995,87026704192,90074784130,82821592038,83271354924,89995008931,
Europe & Central Asia (excluding high income),ECA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26840000,12430000,184900000,319290000,273125817.4,241481195.6,997925771.6,753870893.9,714544328.2,1321422421,1889145118,2727407382,3357235323,4599080900,6854641051,6150339859,7392666695,8340621781,10300856247,11928246184,11127230618,8258393871,7712333117,8896260319,
Europe & Central Asia,ECS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,65193370.12,73480662.93,101933701.6,452452966.7,903120678.9,1068045186,1300341825,1501516207,2564069788,2732272495,2927147312,3478146638,4424806718,5099438471,4609814935,4408364142,4481342066,4496838181,4817681841,6526028599,8947177348,10726646615,11342860578,15115674917,15212545268,15932928540,15785667228,17381473413,20590913004,21899682151,21988140817,23412288987,26685222485,26677481409,26166319860,28108845231,34082969501,60999944934,90410501257,97056236911,1.11E+11,1.39E+11,1.29E+11,1.36E+11,1.52E+11,1.50E+11,1.72E+11,2.07E+11,2.40E+11,2.04E+11,2.12E+11,
